Messreihe;U (Durchschnitt);n (Durchschnitt);n (Standardabweichung)  
1;398,6683168316839;16,02970297029703;5,030815928941458
2;398,5350000000007;9,93;2,83290549354431
3;398,63000000000073;6,87;2,27260807768244
4;398,37000000000063;5,03;2,5164308538929188
5;398,3800000000007;4,36;2,3463705047273637
6;398,4400000000008;3,03;2,047195667494952
7;398,23000000000036;2,73;1,6382732964738802
8;398,41000000000065;2,32;1,4346364759693715
9;"";"";""
10;"";"";""
11;"";"";""
