3,501;2,99;0
4,701;2,99;0
5,901;2,99;0
7,1;2,995;0
8,3;2,995;0
9,5;2,99;0
10,7;2,995;0
11,902;2,985;0
13,101;2,995;0
14,3;2,995;0
15,5;2,995;0
16,701;2,995;0
17,9;2,995;0
19,1;2,995;0
20,3;2,995;0
21,501;3;0
22,7;2,995;0
23,9;2,995;0
25,1;2,995;0
26,3;2,995;0
27,5;2,99;0
28,7;2,99;0
29,9;2,99;0
MIN=0;-10;0
MAX=30;10;10
SCALE=30;5;5
DEC=1;2;0
"DEF=""Zeit"" t / s";"Spannung"" U_B1 / V	""Rate"" R_A1 / 1/s";
1;;192
2,101;3,035;182
3,2;3,035;188
4,4;3,035;177
5,601;3,04;201
6,8;3,03;197
8,001;3,035;189
9,2;3,035;201
10,4;3,035;197
11,6;3,035;196
12,8;3,035;191
14;3,035;183
15,201;3,035;193
16,4;3,04;205
17,6;3,04;198
18,8;3,035;204
20;3,04;213
21,2;3,035;176
22,4;3,035;188
23,6;3,04;180
24,8;3,04;193
26;3,035;193
27,2;3,035;195
28,401;3,035;196
29,601;3,04;188
MIN=0;-10;0
MAX=30;10;10
SCALE=30;5;5
DEC=1;2;0
"DEF=""Zeit"" t / s";"Spannung"" U_B1 / V	""Rate"" R_A1 / 1/s";
1,001;3,09;281
2,201;3,09;250
3,401;3,09;249
4,6;3,095;246
5,8;3,09;250
7;3,09;266
8,2;3,09;258
9,401;3,09;236
10,601;3,09;249
11,8;3,085;269
13;3,095;249
14,2;3,085;250
15,4;3,09;251
16,601;3,09;258
17,8;3,09;247
19,001;3,085;265
20,2;3,09;244
21,4;3,095;242
22,6;3,095;233
23,8;3,09;228
25;3,09;244
26,2;3,09;249
27,4;3,095;250
28,601;3,095;267
29,801;3,09;258
MIN=0;-10;0
MAX=30;10;10
SCALE=30;5;5
DEC=1;2;0
"DEF=""Zeit"" t / s";"Spannung"" U_B1 / V	""Rate"" R_A1 / 1/s";
1,001;3,14;274
2,201;3,145;272
3,401;3,145;240
4,6;3,145;240
5,8;3,145;256
7;3,14;252
8,2;3,14;277
9,4;3,14;236
10,602;3,14;250
11,801;3,135;254
13;3,145;251
14,2;3,135;258
15,4;3,145;270
16,6;3,145;249
17,8;3,14;261
19;3,145;261
20,2;3,135;250
21,4;3,14;270
22,6;3,145;253
23,8;3,14;257
25;3,135;280
26,201;3,145;279
27,4;3,14;269
28,6;3,14;254
29,802;3,135;272
MIN=0;-10;0
MAX=30;10;10
SCALE=30;5;5
DEC=1;2;0
"DEF=""Zeit"" t / s";"Spannung"" U_B1 / V	""Rate"" R_A1 / 1/s";
1;3,21;264
2,2;3,21;256
3,401;3,205;271
4,601;3,215;262
5,801;3,22;277
7,001;3,215;250
8,2;3,21;269
9,4;3,215;239
10,6;3,21;265
11,8;3,21;240
13;3,215;264
14,2;3,215;249
15,4;3,215;279
16,6;3,215;283
17,8;3,215;256
19,001;3,215;253
20,2;3,22;284
21,4;3,21;285
22,6;3,215;251
23,8;3,215;261
25;3,215;249
26,2;3,21;264
27,4;3,21;267
28,6;3,21;265
29,801;3,215;263
MIN=0;-10;0
MAX=30;10;10
SCALE=30;5;5
DEC=1;2;0
