0	0
2.1	0.05
4.1	0.1
6	0.14
7.9	0.18
10.2	0.25
12.1	0.3
14	0.35
16	0.41
18.1	0.47
19.9	0.54
21.9	0.66
24.1	0.8
26.2	0.94
27.5	1.07
30.4	1.44
