5,9	3,2	99
7,101	3,2	110
8,301	3,2	94
9,5	3,2	80
10,7	3,2	120
11,9	3,2	118
13,1	3,2	98
14,3	3,205	92
15,501	3,2	109
16,701	3,205	104
17,9	3,2	92
19,1	3,2	95
20,3	3,2	102
21,5	3,2	91
22,7	3,2	99
23,901	3,205	95
25,1	3,2	100
26,3	3,2	104
27,501	3,205	101
28,7	3,2	93
29,9	3,2	100
MIN=0	-10	0
MAX=30	10	10
SCALE=30	5	5
DEC=1	2	0
DEF="Zeit" t / s	"Spannung" U_B1 / V	"Rate" R_A1 / 1/s
1,001	3,13	4
2,2	3,135	3
3,4	3,125	3
4,6	3,13	2
5,801	3,13	1
7,001	3,13	1
8,201	3,13	0
9,401	3,125	2
10,6	3,135	1
11,8	3,13	2
13	3,13	1
14,201	3,125	0
15,401	3,125	1
16,601	3,13	1
17,8	3,125	2
19	3,13	1
20,2	3,13	0
21,4	3,135	1
22,601	3,135	1
23,801	3,13	1
25	3,135	0
26,2	3,135	2
27,4	3,135	3
28,6	3,135	1
29,8	3,13	2
MIN=0	-10	0
MAX=30	10	10
SCALE=30	5	5
DEC=1	2	0
DEF="Zeit" t / s	"Spannung" U_B1 / V	"Rate" R_A1 / 1/s
1,101	3,145	82
2,301	3,14	68
3,501	3,145	63
4,701	3,145	69
5,9	3,14	88
7,1	3,145	92
8,3	3,145	89
9,501	3,145	84
10,701	3,14	83
11,901	3,145	95
13,1	3,145	74
14,3	3,145	83
15,5	3,145	75
16,7	3,145	88
17,901	3,15	92
19,101	3,145	88
20,301	3,145	88
21,5	3,145	93
22,7	3,145	74
23,9	3,145	91
25,1	3,14	92
26,301	3,145	80
27,502	3,145	87
28,7	3,14	85
29,9	3,14	86
MIN=0	-10	0
MAX=30	10	10
SCALE=30	5	5
DEC=1	2	0
DEF="Zeit" t / s	"Spannung" U_B1 / V	"Rate" R_A1 / 1/s
1,001	3,82	106
2,201	3,82	112
3,401	3,82	122
4,601	3,81	116
5,8	3,81	115
7	3,805	100
8,201	3,815	104
9,401	3,82	109
10,601	3,815	115
11,801	3,815	115
13	3,815	99
14,2	3,815	85
15,4	3,81	108
16,6	3,815	101
17,801	3,815	101
19,001	3,815	102
20,201	3,81	101
21,4	3,815	127
22,601	3,815	104
23,8	3,82	103
25	3,82	101
26,201	3,815	98
27,4	3,82	98
28,6	3,815	105
29,8	3,82	105
MIN=0	-10	0
MAX=30	10	10
SCALE=30	5	5
DEC=1	2	0
DEF="Zeit" t / s	"Spannung" U_B1 / V	"Rate" R_A1 / 1/s
1,001	4,2	114
2,201	4,205	110
3,4	4,205	98
4,6	4,21	100
5,8	4,21	85
7,001	4,21	106
8,201	4,21	110
9,401	4,205	105
10,6	4,205	102
11,8	4,21	102
13	4,205	114
14,2	4,205	114
15,401	4,21	102
16,601	4,2	103
17,8	4,205	107
19	4,195	98
20,2	4,195	112
21,402	4,205	110
22,6	4,205	107
23,8	4,19	111
25,001	4,205	95
26,2	4,195	96
27,4	4,195	118
28,6	4,205	99
29,8	4,2	113
MIN=0	-10	0
MAX=30	10	10
SCALE=30	5	5
DEC=1	2	0
DEF="Zeit" t / s	"Spannung" U_B1 / V	"Rate" R_A1 / 1/s
1,101	4,475	86
2,301	4,48	101
3,5	4,465	99
4,7	4,475	106
5,9	4,47	113
7,101	4,48	115
8,301	4,47	105
9,501	4,475	115
10,7	4,475	100
11,9	4,47	118
13,1	4,48	124
14,3	4,46	104
15,501	4,46	103
16,701	4,465	120
17,9	4,47	125
19,1	4,465	88
20,3	4,47	96
21,5	4,47	111
22,7	4,465	115
23,901	4,47	101
25,1	4,47	100
26,3	4,475	101
27,5	4,465	94
28,7	4,47	99
29,9	4,475	114
MIN=0	-10	0
MAX=30	10	10
SCALE=30	5	5
DEC=1	2	0
DEF="Zeit" t / s	"Spannung" U_B1 / V	"Rate" R_A1 / 1/s
0,101	4,615	140
0,401	4,62	80
0,7	4,62	130
1	4,61	150
1,301	4,625	80
1,601	4,62	170
1,901	4,61	130
2,2	4,615	160
2,5	4,615	170
2,801	4,62	80
3,101	4,62	160
3,4	4,615	70
3,7	4,615	30
4,001	4,6	90
4,301	4,61	120
4,601	4,615	90
4,9	4,615	140
5,2	4,61	80
5,501	4,615	120
5,801	4,615	140
6,101	4,62	120
6,4	4,61	100
6,7	4,605	100
7,001	4,62	120
7,301	4,615	100
7,6	4,595	90
7,9	4,62	100
8,201	4,605	90
8,501	4,61	60
8,801	4,62	90
9,1	4,615	60
9,4	4,62	130
9,701	4,62	150
10,001	4,61	100
10,302	4,61	100
10,6	4,62	110
10,9	4,615	70
11,202	4,605	100
11,501	4,61	30
11,8	4,605	150
12,1	4,615	130
12,4	4,62	90
12,701	4,62	140
13,001	4,62	170
13,3	4,615	160
13,6	4,62	120
13,9	4,615	100
14,201	4,62	160
14,501	4,62	190
14,8	4,62	140
15,1	4,585	140
15,401	4,615	170
15,701	4,62	80
16	4,615	30
16,3	4,61	140
16,6	4,615	110
16,901	4,62	100
17,201	4,6	100
17,5	4,595	140
17,8	4,61	110
18,1	4,61	160
18,401	4,61	130
18,701	4,625	80
19	4,595	110
19,3	4,62	90
19,6	4,62	110
19,901	4,625	120
20,2	4,61	130
20,501	4,61	130
20,8	4,615	120
21,1	4,62	120
